# ========
# captured on: Sat Nov 14 22:28:12 2015
# hostname : LeoMa-ThinkPad-T440
# os release : 3.13.0-57-generic
# perf version : 3.13.11-ckt21
# arch : x86_64
# nrcpus online : 4
# nrcpus avail : 4
# cpudesc : Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz
# cpuid : GenuineIntel,6,69,1
# total memory : 3748808 kB
# cmdline : /usr/lib/linux-tools-3.13.0-57/perf record ./show-last-commit.sh 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, attr_mmap2 = 0, attr_mmap  = 1, attr_mmap_data = 0
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 28120863440
#
# Overhead  Command       Shared Object                                               Symbol
# ........  .......  ..................  ...................................................
#
     0.03%      log  libgit2.so.0.23.0   [.] tree_iterator__current_filename                
     0.03%      log  libgit2.so.0.23.0   [.] git_pack_entry_find                            
     0.03%      log  libgit2.so.0.23.0   [.] git__memzero                                   
     0.03%      log  libgit2.so.0.23.0   [.] tree_iterator__current_internal                
     0.03%      log  libcrypto.so.1.0.0  [.] SHA1_Update                                    
     0.03%      log  libgit2.so.0.23.0   [.] git_commit__parse                              
     0.03%      log  libgit2.so.0.23.0   [.] pack_dependency_chain                          
     0.02%      log  libgit2.so.0.23.0   [.] cache_store                                    
     0.02%      log  libgit2.so.0.23.0   [.] commit_quick_parse                             
     0.02%      log  libgit2.so.0.23.0   [.] git_diff__from_iterators                       
     0.02%      log  libgit2.so.0.23.0   [.] git_pool_clear                                 
     0.02%      log  libgit2.so.0.23.0   [.] git_vector_init                                
     0.02%      log  libgit2.so.0.23.0   [.] git_buf_init                                   
     0.02%      log  libc-2.19.so        [.] __memcmp_sse4_1                                
     0.02%      log  libgit2.so.0.23.0   [.] free@plt                                       
     0.02%      log  libgit2.so.0.23.0   [.] git__calloc                                    
     0.02%      log  libgit2.so.0.23.0   [.] git__strcmp                                    
     0.02%      log  libgit2.so.0.23.0   [.] git_oidmap_hash                                
     0.02%      log  libz.so.1.2.8       [.] inflateInit2_                                  
     0.02%      log  libgit2.so.0.23.0   [.] tree_iterator__at_tree                         
     0.02%      log  libgit2.so.0.23.0   [.] git_object__size                               
     0.02%      log  libgit2.so.0.23.0   [.] cache_should_store                             
     0.02%      log  libgit2.so.0.23.0   [.] git_oid_cpy                                    
     0.02%      log  libc-2.19.so        [.] __strcmp_sse2_unaligned                        
     0.02%      log  libgit2.so.0.23.0   [.] iterator_advance                               
     0.02%      log  libgit2.so.0.23.0   [.] git_revwalk_next                               
     0.02%      log  libgit2.so.0.23.0   [.] resize                                         
     0.02%      log  libgit2.so.0.23.0   [.] git_tree_lookup                                
     0.02%      log  libgit2.so.0.23.0   [.] git_tree_free                                  
     0.02%      log  libgit2.so.0.23.0   [.] pqueue_down                                    
     0.02%      log  libgit2.so.0.23.0   [.] git_pathspec_prefix                            
     0.02%      log  libpthread-2.19.so  [.] pthread_getspecific                            
     0.02%      log  libgit2.so.0.23.0   [.] git_object_free                                
     0.02%      log  libgit2.so.0.23.0   [.] pack_backend__read                             
     0.02%      log  libgit2.so.0.23.0   [.] git_object(float, long double,...)(...)        
     0.02%      log  libgit2.so.0.23.0   [.] git_odb_object_free                            
     0.02%      log  libgit2.so.0.23.0   [.] diff_list_alloc                                
     0.02%      log  libc-2.19.so        [.] __memmove_ssse3_back                           
     0.02%      log  libgit2.so.0.23.0   [.] refcounted_strmap_take                         
     0.02%      log  libgit2.so.0.23.0   [.] git_buf_rtruncate_at_char                      
     0.02%      log  libgit2.so.0.23.0   [.] git_signature_free                             
     0.02%      log  libgit2.so.0.23.0   [.] git_mwindow_contains                           
     0.02%      log  libgit2.so.0.23.0   [.] git_atomic_get                                 
     0.02%      log  libgit2.so.0.23.0   [.] maybe_modified                                 
     0.02%      log  log                 [.] match_with_parent                              
     0.02%      log  libgit2.so.0.23.0   [.] git_vector_free                                
     0.02%      log  libgit2.so.0.23.0   [.] tree_iterator__advance_internal                
     0.02%      log  libgit2.so.0.23.0   [.] odb_object__alloc                              
     0.02%      log  libgit2.so.0.23.0   [.] handle_matched_item                            
     0.02%      log  libgit2.so.0.23.0   [.] giterr_clear                                   
     0.02%      log  libgit2.so.0.23.0   [.] git_revwalk__commit_lookup                     
     0.02%      log  libgit2.so.0.23.0   [.] kh_put_oid                                     
     0.02%      log  libgit2.so.0.23.0   [.] git_oidmap_hash                                
     0.02%      log  libgit2.so.0.23.0   [.] git_vector_get                                 
     0.02%      log  libgit2.so.0.23.0   [.] tree_iterator__pop_all                         
     0.02%      log  libgit2.so.0.23.0   [.] kh_put_oid                                     
     0.01%      log  libgit2.so.0.23.0   [.] git_buf_text_common_prefix                     
     0.01%      log  libgit2.so.0.23.0   [.] git(float, long double,...)(...)               
     0.01%      log  libgit2.so.0.23.0   [.] git(float, long double,...)(...)               
     0.01%      log  libgit2.so.0.23.0   [.] git_vector_get                                 
     0.01%      log  libgit2.so.0.23.0   [.] pqueue_up                                      
     0.01%      log  libgit2.so.0.23.0   [.] git__multiply_sizet_overflow                   
     0.01%      log  libgit2.so.0.23.0   [.] tree_iterator__create_root_frame               
     0.01%      log  libc-2.19.so        [.] __GI___strnlen                                 
     0.01%      log  libgit2.so.0.23.0   [.] git__reallocarray                              
     0.01%      log  libgit2.so.0.23.0   [.] git_futils_readbuffer_updated                  
     0.01%      log  libgit2.so.0.23.0   [.] git_repository_config_snapshot                 
     0.01%      log  libgit2.so.0.23.0   [.] compute_minrun                                 
     0.01%      log  libgit2.so.0.23.0   [.] config_readonly_open                           
     0.01%      log  libgit2.so.0.23.0   [.] git_config_file__snapshot                      
     0.01%      log  libgit2.so.0.23.0   [.] git_atomic_dec                                 
     0.01%      log  libgit2.so.0.23.0   [.] git__isdigit                                   
     0.01%      log  libgit2.so.0.23.0   [.] tree_iterator__te_cmp                          
     0.01%      log  libgit2.so.0.23.0   [.] git_revwalk_reset                              
     0.01%      log  libc-2.19.so        [.] pthread_mutex_init                             
     0.01%      log  libgit2.so.0.23.0   [.] git_futils_readbuffer_fd                       
     0.01%      log  libgit2.so.0.23.0   [.] git_config_new                                 
     0.01%      log  libc-2.19.so        [.] pthread_mutex_lock                             
     0.01%      log  libgit2.so.0.23.0   [.] free_lowest_entry                              
     0.01%      log  libgit2.so.0.23.0   [.] git_oid__parse                                 
     0.01%      log  libgit2.so.0.23.0   [.] kh_put_off                                     
     0.01%      log  libc-2.19.so        [.] __GI___libc_read                               
     0.01%      log  libgit2.so.0.23.0   [.] pathspec_match_one                             
     0.01%      log  libgit2.so.0.23.0   [.] git_repository_odb__weakptr                    
     0.01%      log  libgit2.so.0.23.0   [.] git_pool_mallocz                               
     0.01%      log  libgit2.so.0.23.0   [.] kh_resize_oid                                  
     0.01%      log  libz.so.1.2.8       [.] inflateResetKeep                               
     0.01%      log  libc-2.19.so        [.] __GI___libc_open                               
     0.01%      log  libc-2.19.so        [.] __strcasecmp_l_avx                             
     0.01%      log  libpthread-2.19.so  [.] pthread_mutex_init                             
     0.01%      log  libgit2.so.0.23.0   [.] git__multiply_sizet_overflow                   
     0.01%      log  libgit2.so.0.23.0   [.] memset@plt                                     
     0.01%      log  libgit2.so.0.23.0   [.] git_commit_parent_id                           
     0.01%      log  libgit2.so.0.23.0   [.] git_tree_entrycount                            
     0.01%      log  libgit2.so.0.23.0   [.] get_delta_base                                 
     0.01%      log  libgit2.so.0.23.0   [.] config_free                                    
     0.01%      log  libgit2.so.0.23.0   [.] git__calloc                                    
     0.01%      log  libgit2.so.0.23.0   [.] git__global_state                              
     0.01%      log  libgit2.so.0.23.0   [.] git(float, long double,...)(...)               
     0.01%      log  libgit2.so.0.23.0   [.] git(float, long double,...)(...)               
     0.01%      log  libgit2.so.0.23.0   [.] git_config__add_internal                       
     0.01%      log  libc-2.19.so        [.] __xstat64                                      
     0.01%      log  libgit2.so.0.23.0   [.] git_object_lookup                              
     0.01%      log  libgit2.so.0.23.0   [.] git(float, long double,...)(...)               
     0.01%      log  libgit2.so.0.23.0   [.] git_buf_clear                                  
     0.01%      log  libpthread-2.19.so  [.] pthread_rwlock_wrlock                          
     0.01%      log  libgit2.so.0.23.0   [.] git__bsearch                                   
     0.01%      log  libgit2.so.0.23.0   [.] git__add_sizet_overflow                        
     0.01%      log  libgit2.so.0.23.0   [.] pack_window_open                               
     0.01%      log  libgit2.so.0.23.0   [.] git__isspace                                   
     0.01%      log  libgit2.so.0.23.0   [.] git_commit_tree                                
     0.01%      log  libgit2.so.0.23.0   [.] git_buf_grow                                   
     0.01%      log  libgit2.so.0.23.0   [.] git__calloc                                    
     0.01%      log  libgit2.so.0.23.0   [.] git_diff_tree_to_tree                          
